Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Year
Suriname,70.08125,166.0,0.0,4.984,508.494032814375,85.27272727272727,0.0,50.15625,0.0,78.25,6.6626666666666665,82.5625,0.7625,4781.2168219375,3.5125,3.45625,0.4810625,11.825,2000_2015
Swaziland,51.325,339.0,2.625,4.463333333333334,278.0997131315,76.0,49.125,25.5,3.6875,89.0,7.308666666666666,83.75,32.94375,2165.0908375,6.475,6.63125,0.5156875,10.35,2000_2015
Sweden,82.51875,59.1875,0.0,6.926666666666667,4438.16315355,59.2,18.9375,56.25,0.0,98.3125,9.932666666666668,98.3125,0.1,29334.990639375,1.35,1.3062500000000001,0.8931250000000001,15.86875,2000_2015
Syrian Arab Republic,70.85,139.625,8.0,0.8046666666666666,39.2994856325,64.125,295.6875,47.3125,9.5625,64.8125,3.9466666666666668,48.4375,0.1,1087.435773875,6.45,6.25625,0.6180625,10.98125,2000_2015
Tajikistan,66.65625,177.5625,10.6875,0.33066666666666666,17.2771924581875,84.42857142857143,208.1875,33.1125,12.75,88.3125,5.648,89.25,0.25625,335.84172523125,3.80625,3.85,0.5838125,10.68125,2000_2015
Thailand,73.08125,160.375,12.125,6.131333333333333,401.2599634,97.0,4311.9375,21.59375,14.125,98.3125,3.7573333333333334,98.1875,0.3875,3494.781701625,8.54375,8.7,0.6946875,12.55,2000_2015
Timor-Leste,64.75625,170.375,2.375,0.23533333333333334,21.187523274500002,76.0,85.0625,14.55,3.0,63.214285714285715,1.6466666666666667,64.21428571428571,0.1,551.7106493125,10.525,11.69375,0.517625,10.7,2000_2015
Togo,56.6625,311.3125,14.1875,0.9473333333333334,23.705604090625002,76.625,532.5,17.99375,21.4375,67.1875,5.243333333333334,74.3125,3.8625,317.20409206875,7.86875,7.7375,0.4459375,10.65,2000_2015
Tonga,72.53125,129.625,0.0,1.1673333333333333,323.8093429281875,75.5,0.25,62.94375,0.0,76.875,5.206,70.3125,0.1,1981.5551861874999,0.1,0.1,0.6988125,14.21875,2000_2015
Trinidad and Tobago,71.06875,163.375,0.0,6.044666666666667,559.314872033125,54.92857142857143,0.0,37.73125,0.25,76.4375,5.199333333333333,66.5,0.625,7741.7480900625,6.1375,6.50625,0.753375,12.33125,2000_2015
Tunisia,74.35625,18.75,3.25,1.3106666666666666,366.74126047625,96.75,33.1875,48.25625,3.6875,97.6875,6.052666666666667,97.6875,0.1,3044.081488375,6.40625,6.3375,0.692625,14.05625,2000_2015
Turkey,73.9125,98.375,26.9375,1.4213333333333333,253.4171775340625,87.0625,5272.9375,56.4125,32.25,80.8125,5.617999999999999,80.75,0.1,3983.91772175,5.0125,4.85,0.7033125,12.675,2000_2015
Turkmenistan,64.61874999999999,214.8125,6.5625,2.6546666666666665,187.7819875550625,97.28571428571429,15.125,38.11875,8.0625,95.5625,2.8286666666666664,96.375,0.1,2511.6115398624997,3.3375,3.3625,0.211625,9.83125,2000_2015
Uganda,55.70625,300.1875,89.6875,8.050666666666666,47.692108349562496,63.42857142857143,12394.625,15.525,138.875,65.4375,8.542,64.875,7.65,421.04849634375,6.2625,6.25625,0.4453125,10.59375,2000_2015
Ukraine,69.9375,205.75,5.0625,7.3693333333333335,169.42733017693752,54.625,5395.1875,50.89375,5.9375,81.4375,6.777333333333333,70.0,0.5375,1577.293328625,2.575,2.675,0.7165625,14.60625,2000_2015
United Arab Emirates,75.7,67.0625,1.0,1.75,1886.73158978125,93.875,75.625,53.80625,1.0,95.0625,3.0366666666666666,94.625,0.1,22110.36698625,5.1812499999999995,4.96875,0.8195625,12.8125,2000_2015
Uruguay,76.075,119.9375,0.5625,6.172666666666667,621.8389194,94.3125,0.0,52.925,0.75,94.25,8.75,89.125,0.1,7192.5848745,1.6,1.54375,0.765625,15.23125,2000_2015
Uzbekistan,68.03125,184.8125,21.9375,1.6086666666666667,44.3734502649375,95.64285714285714,208.4375,34.80625,25.6875,98.5625,5.638000000000001,98.4375,0.20625000000000002,651.09235893125,3.14375,3.175,0.603,11.64375,2000_2015
Vanuatu,71.3875,137.875,0.0,0.8066666666666666,282.32574587,56.125,20.875,44.25625,0.0,66.1875,3.9286666666666665,59.0625,0.1,2000.245518125,1.56875,1.49375,0.3675,10.56875,2000_2015
Zambia,53.90625,354.3125,33.4375,2.2393333333333336,89.650406851125,69.81818181818181,6563.8125,17.45,52.375,64.375,5.824,74.25,11.93125,811.81184051875,6.88125,6.7625,0.4984375,11.2125,2000_2015
Zimbabwe,50.4875,462.375,26.5625,4.482,20.364271458875,70.5625,923.0,25.1375,40.8125,75.625,6.158666666666666,75.1875,23.2625,410.98019376875,7.0125,6.9875,0.439125,9.825,2000_2015
